finished,QID1,QID2,QID3,QID5,QID6,QID8,QID10,QID11,QID12,QID14,QID13,QID24,QID9,QID15_TEXT,QID16_TEXT,QID17,QID18,QID19,QID20,QID22
Finished,Q1 - What is your class year?,Q2 - What is your race or ethnicity?,Q3 - What is your gender?,Q5 - Are you in any of the following types of groups?,Q6 - Are you in Pratt or Trinity?,Q8 - Which presidential candidate do you intend to vote for?,Q10 - Which political party do you most align with?,Q11 - How knowledgeable do you consider yourself about politics?,Q12 - Do you plan to vote?,Q14 - Are you registered to vote?,Q13 - In which state are you registered to vote?,Q24 - Which candidate for US Senator from North Carolina do you intend to vote fo...,Q9 - Which candidate for North Carolina governor do you intend to vote for?,Q15 - What is one word that comes to mind when you think of Hillary Clinton?,Q16 - What is one word that comes to mind when you think of Donald Trump?,Q17 - Do you have friends that support a different candidate for president that y...,Q18 - Have you unfriended someone on Facebook because of their political beliefs?,Q19 - Who do you think will win the election?,Q20 - Do you think you will be voting for the same candidate for president as you...,Q22 - How many Duke Football games do you think you will have attended by the end...
TRUE,2018,Black or African American,Female,None,Trinity,Hillary Clinton,Democratic,Slightly knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Underrated,Pardoned,No,No,Hillary Clinton,Probably yes,1
TRUE,2020,White,Female,None,Trinity,Do not intend to vote,Libertarian,Moderately knowledgeable,Definitely yes,No,,,,Dishonest,Misogynist,Yes,No,Hillary Clinton,Might or might not,3
TRUE,2017,White,Female,Independent House,Trinity,Hillary Clinton,Unaffiliated/Independent,Very knowledgeable,Definitely yes,Yes,Ohio ,,,Experience,Temper,Yes,No,Hillary Clinton,Probably yes,0
TRUE,2019,Hispanic,Female,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,dedicated,idiot,Yes,Yes,Hillary Clinton,Definitely yes,0
TRUE,2019,Black or African American,Female,Sorority,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Probably yes,Yes,Texas ,,,Democrat,Extremist,No,No,Hillary Clinton,Probably yes,2
TRUE,2017,White,Male,Fraternity,Trinity,Hillary Clinton,Republican,Moderately knowledgeable,Definitely yes,Yes,Ohio ,,,politician,dangerous,Yes,No,Hillary Clinton,Probably not,2
TRUE,2019,Hispanic,Female,Selective Living Group,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Undecided,better,bigot,Yes,Yes,Hillary Clinton,Probably yes,1
TRUE,2019,White,Female,Sorority,Trinity,Hillary Clinton,Green,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,Prepared,Ogre,No,Yes,Hillary Clinton,Definitely yes,1
TRUE,2018,Black or African American,Female,Independent House,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Probably yes,Yes,North Carolina ,Undecided,Roy Cooper,Qualified,Temperamental,No,Yes,Hillary Clinton,Definitely yes,0
TRUE,2018,Prefer not to disclose,Female,None,Trinity,Donald Trump,Republican,Extremely knowledgeable,Definitely yes,Yes,North Carolina ,Richard Burr,Undecided,fake ,bold ,Yes,No,Donald Trump,Definitely yes,0
TRUE,2020,White,Male,None,Trinity,Donald Trump,Republican,Very knowledgeable,Definitely yes,Yes,North Carolina ,Richard Burr,Roy Cooper,politician,wall,Yes,No,Hillary Clinton,Probably not,5
TRUE,2017,Asian,Female,Selective Living Group,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,Florida ,,,"Strong, powerful, knowledgable","Cowardly, pathological liar, racist, sexist, bigot",No,No,Hillary Clinton,Probably yes,1
TRUE,2020,Asian,Male,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,fighter,fascist ,Yes,No,Hillary Clinton,Definitely yes,3
TRUE,2017,Other,Female,Sorority,Trinity,Undecided,Republican,Moderately knowledgeable,Definitely yes,Yes,Kansas ,,,Liar,Idiot,Yes,No,Donald Trump,Probably yes,5
TRUE,2019,Black or African American,Male,Fraternity,Pratt,Hillary Clinton,Democratic,Moderately knowledgeable,Probably yes,No,,,,Vpotus,Potus ,Yes,Yes,Hillary Clinton,Probably yes,2
TRUE,2020,White,Female,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,female,horrible,Yes,No,Hillary Clinton,Definitely yes,3
TRUE,2018,White,Male,Fraternity,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Meh,Demagogue,Yes,No,Hillary Clinton,Definitely yes,1
TRUE,2019,White,Female,Sorority,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Feminism,Bigot,Yes,No,Hillary Clinton,Definitely yes,2
TRUE,2019,White,Male,Fraternity,Trinity,Undecided,Republican,Slightly knowledgeable,Probably yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Scumbag,Gross,Yes,No,Hillary Clinton,Probably yes,3
TRUE,2019,Black or African American,Male,Selective Living Group,Trinity,Hillary Clinton,Unaffiliated/Independent,Very knowledgeable,Probably yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Clever,Blunt,Yes,No,Hillary Clinton,Definitely yes,3
TRUE,2019,White,Female,Selective Living Group,Trinity,Hillary Clinton,Libertarian,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Reliable ,Unhinged ,No,No,Hillary Clinton,Probably yes,2
TRUE,2017,Black or African American,Female,None,Trinity,Undecided,Libertarian,Moderately knowledgeable,Definitely yes,Yes,Florida ,,,qualified,idiot,Yes,No,Hillary Clinton,Probably yes,11
TRUE,2020,Asian,Female,None,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Strong,Asshole,Yes,No,Hillary Clinton,Definitely yes,5
TRUE,2018,Black or African American,Female,Selective Living Group,Trinity,Do not intend to vote,Unaffiliated/Independent,Moderately knowledgeable,Might or might not,No,,,,Strong woman,Rude man ,No,No,Hillary Clinton,Definitely yes,3
TRUE,2019,White,Female,Sorority,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Qualified,Racist,No,No,Hillary Clinton,Definitely yes,2
TRUE,2019,Other,Male,None,Trinity,Gary Johnson,Unaffiliated/Independent,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Corruption,Crazy,Yes,No,Hillary Clinton,Might or might not,1
TRUE,2018,White,Male,Fraternity,Trinity,Donald Trump,Republican,Very knowledgeable,Definitely yes,Yes,Florida ,,,Liar,Narcissist ,Yes,No,Donald Trump,Definitely yes,7
TRUE,2019,White,Male,Selective Living Group,Pratt,Undecided,Unaffiliated/Independent,Very knowledgeable,Probably yes,Yes,North Carolina ,Undecided,Roy Cooper,Untrustworthy,Aggressive,Yes,No,Hillary Clinton,Probably not,3
TRUE,2020,American Indian or Alaska Native,Female,None,Trinity,Hillary Clinton,Republican,Very knowledgeable,Definitely yes,Yes,California ,,,Deceiving ,Sexual predator,No,No,Hillary Clinton,Might or might not,5
TRUE,2019,White,Female,Sorority,Pratt,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Intelligent,Disgrace,Yes,Yes,Hillary Clinton,Definitely yes,2
TRUE,2019,Asian,Female,Independent House,Trinity,Hillary Clinton,Unaffiliated/Independent,Slightly knowledgeable,Probably yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,female,immigration,No,No,Hillary Clinton,Probably not,0
TRUE,2020,Asian,Male,None,Pratt,Hillary Clinton,Democratic,Very knowledgeable,Probably yes,Yes,North Carolina ,Richard Burr,Pat McCrory,competent,tempermental,Yes,Yes,Hillary Clinton,Definitely yes,1
TRUE,2018,White,Male,Fraternity,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Politician ,Idiot,Yes,No,Hillary Clinton,Definitely yes,0
TRUE,2018,White,Female,Independent House,Pratt,Hillary Clinton,Unaffiliated/Independent,Very knowledgeable,Definitely yes,Yes,Tennessee ,,,Not trump,Insane,No,No,Hillary Clinton,Definitely yes,0
TRUE,2018,White,Male,Selective Living Group,Pratt,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Definitely yes,Yes,Colorado ,,,crooked,satan,Yes,No,Hillary Clinton,Probably yes,0
TRUE,2018,White,Female,Sorority,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Leader,Misogynist,Yes,No,Hillary Clinton,Definitely yes,0
TRUE,2020,White,Male,None,Trinity,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Probably yes,Yes,Maryland ,,,Eh,Rich,Yes,No,Hillary Clinton,Definitely yes,4
TRUE,2018,White,Female,Sorority,Trinity,Hillary Clinton,Republican,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Untrustworthy,Powder-keg,Yes,No,Hillary Clinton,Probably not,0
TRUE,2017,American Indian or Alaska Native,Male,None,Trinity,Hillary Clinton,Democratic,Slightly knowledgeable,Might or might not,Yes,North Carolina ,Undecided,Undecided,Democrat,Racist,Yes,No,Hillary Clinton,Definitely yes,2
TRUE,2020,Black or African American,Female,None,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,California ,,,Responsible,Reckless,No,No,Hillary Clinton,Definitely yes,4
TRUE,2019,White,Male,None,Trinity,Hillary Clinton,Democratic,Extremely knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,strong,fuckface,Yes,No,Hillary Clinton,Might or might not,0
TRUE,2018,White,Male,None,Trinity,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Probably yes,Yes,Georgia ,,,Collected,Joke,Yes,No,Hillary Clinton,Definitely yes,5
TRUE,2020,White,Female,Independent House,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,Florida ,,,Strong,Bigot,Yes,Yes,Hillary Clinton,Definitely yes,1
TRUE,2020,Asian,Male,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Probably yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,woman,orange,No,No,Hillary Clinton,Definitely yes,8
TRUE,2018,Asian,Male,Selective Living Group,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,President,Idiot,Yes,No,Hillary Clinton,Definitely yes,0
TRUE,2020,Hispanic,Female,None,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,Florida ,,,ready,disgusting,Yes,Yes,Hillary Clinton,Might or might not,4
TRUE,2020,White,Female,None,Trinity,Jill Stein,Democratic,Slightly knowledgeable,Definitely yes,Yes,California ,,,Cringe,Disgust,Yes,No,Hillary Clinton,Probably yes,2
TRUE,2018,Asian,Male,Independent House,Pratt,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Democrat,Dick,Yes,No,Hillary Clinton,Definitely yes,0
TRUE,2020,Hispanic,Female,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Probably yes,Yes,Ohio ,,,Corrupt ,Hitler ,Yes,No,Hillary Clinton,Probably yes,6
TRUE,2018,White,Male,Fraternity,Pratt,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,determined,pumpkin,Yes,No,Hillary Clinton,Definitely not,2
TRUE,2018,White,Male,Independent House,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,robotic,irrational,Yes,Yes,Hillary Clinton,Definitely yes,0
TRUE,2018,Prefer not to disclose,Prefer not to disclose,None,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Necessary,Uninformed,No,No,Hillary Clinton,Definitely yes,0
TRUE,2020,White,Male,None,Trinity,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,untrustworthy,dangerous,Yes,No,Hillary Clinton,Probably not,2
TRUE,2020,White,Female,None,Trinity,Hillary Clinton,Democratic,Slightly knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Strong,Dumb,Yes,No,Hillary Clinton,Definitely yes,10
TRUE,2018,White,Male,Fraternity,Trinity,Gary Johnson,Republican,Moderately knowledgeable,Probably yes,Yes,North Carolina ,Richard Burr,Pat McCrory,prison,wall,Yes,No,Hillary Clinton,Might or might not,7
TRUE,2017,Black or African American,Female,None,Trinity,Hillary Clinton,Unaffiliated/Independent,Extremely knowledgeable,Probably yes,Yes,North Carolina ,Undecided,Roy Cooper,Eh,Ew,No,Yes,Hillary Clinton,Probably yes,0
TRUE,2020,White,Female,None,Trinity,Hillary Clinton,Republican,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Untrustworthy,Offensive,Yes,No,Hillary Clinton,Definitely not,3
TRUE,2017,White,Male,Selective Living Group,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,New Jersey ,,,Dedicated,Terrible,Yes,No,Hillary Clinton,Probably yes,1
TRUE,2020,Other,Female,None,Trinity,Gary Johnson,Libertarian,Very knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Pat McCrory,Corrupt,Marketer,Yes,No,Hillary Clinton,Probably not,4
TRUE,2017,Asian,Male,Selective Living Group,Pratt,Hillary Clinton,Unaffiliated/Independent,Not knowledgeable at all,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,cuckold,Idiot,Yes,No,Hillary Clinton,Definitely yes,0
TRUE,2018,Asian,Male,Selective Living Group,Trinity,Hillary Clinton,Republican,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,dishonest,bigot,Yes,No,Hillary Clinton,Definitely not,0
TRUE,2020,White,Female,None,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Capable ,Ignorant ,Yes,No,Hillary Clinton,Definitely yes,2
TRUE,2018,Hispanic,Female,None,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,determined,foul,No,No,Hillary Clinton,Definitely yes,0
TRUE,2020,White,Male,None,Trinity,Gary Johnson,Republican,Slightly knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Incompetent,Insane,Yes,No,Hillary Clinton,Probably not,7
TRUE,2019,White,Male,Fraternity,Trinity,Undecided,Unaffiliated/Independent,Slightly knowledgeable,Probably yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Irresponsible,Tempermental,Yes,No,Hillary Clinton,Might or might not,7
TRUE,2019,Other,Male,Fraternity,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,Money,'Merica,Yes,No,Hillary Clinton,Definitely yes,7
TRUE,2019,Asian,Male,Selective Living Group,Trinity,Hillary Clinton,Democratic,Slightly knowledgeable,Might or might not,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,neutral,unworthy,Yes,No,Hillary Clinton,Probably yes,2
TRUE,2018,White,Female,None,Pratt,Undecided,Democratic,Moderately knowledgeable,Definitely yes,Yes,New York ,,,Manipulative,Hateful,Yes,No,Hillary Clinton,Might or might not,1
TRUE,2018,White,Male,Selective Living Group,Trinity,Donald Trump,Republican,Moderately knowledgeable,Definitely yes,Yes,Ohio ,,,Weak,Change,Yes,No,Hillary Clinton,Probably not,4
TRUE,2019,White,Male,Fraternity,Trinity,Donald Trump,Republican,Very knowledgeable,Definitely yes,Yes,Florida ,,,Corrupt ,twitter,Yes,No,Donald Trump,Definitely yes,3
TRUE,2017,White,Female,Selective Living Group,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,Qualified,Buffoon,Yes,No,Hillary Clinton,Probably yes,0
TRUE,2020,Black or African American,Female,None,Trinity,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Probably yes,Yes,Florida ,,,Dishonest ,Prejudiced,Yes,No,Hillary Clinton,Probably yes,3
TRUE,2017,Black or African American,Female,Selective Living Group,Pratt,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,unliked,bigot,Yes,No,Hillary Clinton,Definitely yes,2
TRUE,2017,White,Male,Fraternity,Pratt,Donald Trump,Republican,Moderately knowledgeable,Probably yes,Yes,North Carolina ,Richard Burr,Pat McCrory,Liar,Different ,Yes,No,Hillary Clinton,Definitely yes,4
TRUE,2019,Asian,Male,Independent House,Trinity,Do not intend to vote,Unaffiliated/Independent,Extremely knowledgeable,Definitely not,No,,,,Crooked,WWE,Yes,No,Hillary Clinton,Definitely not,0
TRUE,2018,Asian,Female,None,Pratt,Hillary Clinton,Democratic,Slightly knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Qualified,Disgusting,No,No,Hillary Clinton,Definitely yes,0
TRUE,2017,Asian,Female,Sorority,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Leader,Joke,Yes,No,Hillary Clinton,Probably yes,0
TRUE,2017,White,Male,Fraternity,Pratt,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Richard Burr,Roy Cooper,Qualified,Bully,No,No,Hillary Clinton,Definitely yes,5
TRUE,2017,Asian,Male,Independent House,Pratt,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,Washington ,,,Experienced,Crazy,No,No,Hillary Clinton,Definitely yes,0
TRUE,2020,White,Male,None,Pratt,Gary Johnson,Libertarian,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Liar,Idiot,Yes,No,Hillary Clinton,Definitely not,4
TRUE,2019,White,Male,Independent House,Pratt,Do not intend to vote,Unaffiliated/Independent,Moderately knowledgeable,Definitely not,Yes,Minnesota ,,,Mafia,Bigot,Yes,No,Hillary Clinton,Definitely not,5
TRUE,2018,White,Male,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,Experienced,Aggressive,Yes,No,Hillary Clinton,Definitely yes,4
TRUE,2020,White,Male,None,Trinity,Hillary Clinton,Democratic,Slightly knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Liar,Bigot,No,Yes,Hillary Clinton,Definitely yes,3
TRUE,2018,Black or African American,Female,Selective Living Group,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Deborah Ross,Roy Cooper,experienced,incompetent ,No,Yes,Hillary Clinton,Definitely yes,0
TRUE,2017,Asian,Female,Selective Living Group,Trinity,Hillary Clinton,Unaffiliated/Independent,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Confident,Confusing,Yes,No,Hillary Clinton,Probably yes,1
TRUE,2018,Black or African American,Male,Independent House,Trinity,Gary Johnson,Unaffiliated/Independent,Moderately knowledgeable,Probably yes,Yes,North Carolina ,Do not intend to vote,Roy Cooper,empty,volatile,Yes,No,Donald Trump,Might or might not,2
TRUE,2019,Asian,Female,Independent House,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Do not intend to vote,Do not intend to vote,Experienced,Unfit,No,No,Hillary Clinton,Might or might not,0
TRUE,2017,Hispanic,Male,Fraternity,Trinity,Hillary Clinton,Unaffiliated/Independent,Very knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,Sleazy,Disgusting,Yes,No,Hillary Clinton,Probably yes,3
